id;cat;name;zen;rekom;sebe;tehno;gram;kol
3700;Запечённые роллы;Ролл Запечённая Филадельфия;210;131,34;43,78;нори*1, рис*130, лосось*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;220;8
3800;Запечённые роллы;Ролл Запечённый ОРИГАМИ;205;171,76;57,26;нори*1, рис*130, лосось*10, угорь*10, креветки*15, сыр сливочный*25, огурец*10, соус унаги*5, кунжут*5,;210;8
3900;Запечённые роллы;Ролл Запечённый Лосось под спайсом;180;121,89;40,63;нори*1, рис*130, лосось*25, сыр сливочный*25, огурец*15, спайси соус*15,;210;8
3920;Запечённые роллы;Ролл Запечённый с креветкой;;;;нори*1, рис*130, креветки*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;;8
3940;Запечённые роллы;Ролл Запечённый с угрём;;;;нори*1, рис*130, угорь*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;;8
4100;Суши;Суши Лосось;55;50,25;16,75;рис*20, лосось*12,;32;1
4200;Суши;Суши Угорь;80;78,33;26,11;рис*20, угорь*12,;32;1
4300;Суши;Суши Спайси с начинкой на выбор;80;59,43;19,81;рис*20, спайси соус*15, начинка на выбор*12,;47;1
4600;Горячие блюда;Кольца кальмара;180;182,09;60,7;кальмар*100, кляр-сухари*50, лист салата*15, соус фирменный*50,;215;1
4610;Горячие блюда;Креветки в кляре;240;292,1;97,36;креветки*100, кляр-сухари*50, соус на выбор*50, лист салата*5,;205;1
4620;Горячие блюда;Гренки чесночные с сыром;100;105,44;35,15;хлеб чёрный*150, сыр*20, соус чесночный*50, масло подсолнечное*10, лист салата*5,;235;1
4630;Горячие блюда;Пельмешки во фритюре;150;158,18;52,73;пельмени*200, перец каенский*5, лист салата*5, соль*5, соус фирменный*50, лист салата*5,;265;1
4640;Горячие блюда;Пельмешки отварные;150;158,18;52,73;пельмени*200, перец каенский*5, лист салата*5, соль*5, соус фирменный*50, лист салата*5,;265;1
4800;Горячие блюда;Луковые кольца;110;115,09;38,37;луковые кольца*100, кляр-сухари*50, лист салата*5, соус фирменный*50,;205;1
4850;Горячие блюда;Картофель ФРИ;80;106,45;35,48;картофель фри*170, соус фирменный*50, лист салата*5,;225;1
4880;Горячие блюда;Картофель по деревенски;90;123,5;41,16;картофель дольками*170, соус фирменный*50, зелень*10, лист салата*5,;235;1
4890;Горячие блюда;Картофельные шарики;150;201,68;67,22;картофельные шарики*150, перец каенский*10, соль*5, соус фирменный*50, лист салата*5,;220;1
4900;Горячие блюда;Венгерские колбаски;200;195,94;65,31;колбаски венгерские*150, картофель фри*25, картофель дольками*25, лист салата*5, соус фирменный*50,;255;1
5000;Горячие блюда;Стэйк из лосося;275;279,07;93,03;лосось*150, лист салата*5, соус фирменный*50, лимон*30, соль*5, перец каенский*5,;245;1
5100;Горячие блюда;Куриные нагетсы;200;241,49;80,5;куриное филе*150, картофель фри*50, картофель дольками*50, лист салата*5, кляр-сухари*50, соус фирменный*50,;365;1
4450;Раки;Раки Армянские (меньше среднего);360;182,09;60,7;раки небольшие*1000, укроп*10, соль*50, лимон*30, (варятся живыми);1000;1
4460;Раки;Раки Армянские (средние);550;182,09;60,7;раки средние*1000, укроп*10, соль*50, лимон*30, (варятся живыми);1000;1
4470;Раки;Раки Армянские (огромные);1000;182,09;60,7;раки огромные*1000, укроп*10, соль*50, лимон*30, (варятся живыми);1000;1
5120;Супы;Суп куриный с сухариками;75;66,6;22,2;куриное филе*30, картофель*30, суповой набор*100, вода*150, сухарики;260;1
5130;Супы;Суп Король креветок;250;305,49;101,83;креветки*50, имбирь*30, лимон*30, лапша удон*50, картофель*100, суповой набор*100, соус соевый*50, нори*0.5, вода*100;560;1
5135;Супы;Солянка;130;130;80;солянка по фирменному рецепту,;350;1
5140;Воки;Лапша с курицей;170;160,56;53,52;лапша удон*80, куриное филе*100, морковь*30, шампиньоны*30, перец болгарский*20, цукини*30, соус терияки*30, соус соевый*30, кунжут*5, зелень*5,;360;1
5150;Воки;Лапша со свининой;190;190,56;63,52;лапша удон*80, свинина*100, морковь*30, шампиньоны*30, перец болгарский*20, цукини*30, соус терияки*30, соус соевый*30, кунжут*5, зелень*5,;360;1
5160;Воки;Лапша с креветкой;230;297,15;99,05;лапша удон*80, креветки*80, морковь*30, шампиньоны*30, перец
